2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): Unescaped '&lt;' not allowed in attributes values in Entity, line: 94 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): attributes construct error in Entity, line: 94 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): Couldn't find end of Start Tag a line 94 in Entity, line: 94 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: li line 94 and a in Entity, line: 94 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: modification line 1 and li in Entity, line: 94 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:05:09 - PHP Warning:  DOMDocument::loadXML(): Extra content at the end of the document in Entity, line: 96 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Double hyphen within comment: &lt;!--     &lt;file path=&quot;catalog/view/theme/*/template/com in Entity, line: 83 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Unescaped '&lt;' not allowed in attributes values in Entity, line: 88 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): attributes construct error in Entity, line: 88 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Couldn't find end of Start Tag a line 88 in Entity, line: 88 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: li line 88 and a in Entity, line: 88 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Opening and ending tag mismatch: ul line 86 and li in Entity, line: 88 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): Unescaped '&lt;' not allowed in attributes values in Entity, line: 91 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
2017-08-12 23:07:41 - PHP Warning:  DOMDocument::loadXML(): attributes construct error in Entity, line: 91 in /var/www/user63894/data/www/nassk-studio.ru/demo/Slavbelstroy/admin/controller/extension/installer.php on line 436
